comuna,region_id,region_nombre,fuente,numero,fecha,titulo,materia,url,source_listing_url,sha256,rdf_url
Concepción,08,Biobío,BCN,7,2013-01-10,FIJA MONTO DE DERECHOS POR EXTRACCIÓN DE BASURAS PARA EL AÑO 2013,Derechos Municipales y Tarifas,https://www.bcn.cl/leychile/navegar?idNorma=1047906,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/2013-01-10/7/datos.json
Concepción,08,Biobío,BCN,1,2012-01-17,"MODIFICA ORDENANZA Nº 6, DE 2011, QUE FIJA MONTOS DE DERECHOS POR EXTRACCIÓN DE BASURAS PARA EL AÑO 2012",Derechos Municipales y Tarifas,https://www.bcn.cl/leychile/navegar?idNorma=1036499,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/2012-01-17/1/datos.json
Concepción,08,Biobío,BCN,5,2012-01-17,ORDENANZA PARA LA OCUPACIÓN TRANSITORIA DEL ESPACIO PÚBLICO POR FAENAS RELACIONADAS CON OBRAS EN LA PROPIEDAD PRIVADA E INSTALACIONES DE UTILIDAD PÚBLICA,Tránsito y Transporte,https://www.bcn.cl/leychile/navegar?idNorma=1036500,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/2012-01-17/5/datos.json
Concepción,08,Biobío,BCN,4,2011-11-11,"MODIFICA ORDENANZA Nº 5, DE 2002, SOBRE DERECHOS MUNICIPALES POR CONCESIONES, PERMISOS Y SERVICIOS",Derechos Municipales y Tarifas,https://www.bcn.cl/leychile/navegar?idNorma=1032163,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/2011-11-11/4/datos.json
Concepción,08,Biobío,BCN,3,2011-09-23,ORDENANZA DE PARTICIPACIÓN CIUDADANA,Organización y Régimen Interno,https://www.bcn.cl/leychile/navegar?idNorma=1030180,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/2011-09-23/3/datos.json
Concepción,08,Biobío,BCN,2,2011-08-04,"MODIFICA ORDENANZA Nº 2, DE 1994, SOBRE PLAYAS DE ESTACIONAMIENTO",Tránsito y Transporte,https://www.bcn.cl/leychile/navegar?idNorma=1028383,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/2011-08-04/2/datos.json
Concepción,08,Biobío,BCN,1,2011-07-05,APRUEBA ORDENANZA SOBRE COMERCIO SEXUAL Y OTRAS CONDUCTAS DE CONNOTACIÓN SEXUAL EN LUGARES PÚBLICOS DE LA COMUNA DE CONCEPCIÓN,"Comercio, Alcoholes y Patentes",https://www.bcn.cl/leychile/navegar?idNorma=1027464,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/2011-07-05/1/datos.json
Concepción,08,Biobío,BCN,2,2011-05-04,"MODIFICA ORDENANZA Nº 5, DE 2009, QUE MODIFICA ORDENANZA Nº 5, DE 2002",Normativa General y Otras Materias,https://www.bcn.cl/leychile/navegar?idNorma=1025056,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/2011-05-04/2/datos.json
Concepción,08,Biobío,BCN,4,2010-12-31,ORDENANZA MUNICIPAL QUE FIJA MONTO DE DERECHOS POR EXTRACCIÓN DE BASURAS DOMICILIARIAS PARA EL AÑO 2011,Derechos Municipales y Tarifas,https://www.bcn.cl/leychile/navegar?idNorma=1021682,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/2010-12-31/4/datos.json
Concepción,08,Biobío,BCN,nº-3,2010-10-30,"MODIFICA ORDENANZA Nº 5, DE 2002, SOBRE DERECHOS MUNICIPALES POR CONCESIONES, PERMISOS Y SERVICIOS",Derechos Municipales y Tarifas,https://www.bcn.cl/leychile/navegar?idNorma=1018546,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/2010-10-30/nº-3/datos.json
Concepción,08,Biobío,BCN,1,2010-07-15,"MODIFICA ORDENANZA Nº 2, DE 1994, SOBRE PLAYAS DE ESTACIONAMIENTO",Tránsito y Transporte,https://www.bcn.cl/leychile/navegar?idNorma=1015387,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/2010-07-15/1/datos.json
Concepción,08,Biobío,BCN,4,2009-12-30,"MODIFICA ORDENANZA Nº 4, DE 1996, PARA LA OCUPACIÓN TRANSITORIA DEL ESPACIO PÚBLICO POR FAENAS RELACIONADAS CON OBRAS EN LA PROPIEDAD PRIVADA E INSTALACIONES DE SERVICIOS DE UTILIDAD PÚBLICA",Tránsito y Transporte,https://www.bcn.cl/leychile/navegar?idNorma=1009758,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/2009-12-30/4/datos.json
Concepción,08,Biobío,BCN,5,2009-12-30,"MODIFICA ORDENANZA MUNICIPAL Nº 5, DE 2002, SOBRE DERECHOS MUNICIPALES POR CONCESIONES, PERMISOS Y SERVICIOS",Derechos Municipales y Tarifas,https://www.bcn.cl/leychile/navegar?idNorma=1009759,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/2009-12-30/5/datos.json
Concepción,08,Biobío,BCN,6,2009-12-30,"MODIFICA ORDENANZA LOCAL Nº 1, DE 1998, SOBRE PUBLICIDAD","Comercio, Alcoholes y Patentes",https://www.bcn.cl/leychile/navegar?idNorma=1009760,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/2009-12-30/6/datos.json
Concepción,08,Biobío,BCN,7,2009-12-30,ORDENANZA MUNICIPAL QUE FIJA MONTO DE DERECHOS POR EXTRACCIÓN DE BASURAS Y ADICIONAL DE BASURAS PARA AÑO 2010,Derechos Municipales y Tarifas,https://www.bcn.cl/leychile/navegar?idNorma=1009761,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/2009-12-30/7/datos.json
Concepción,08,Biobío,BCN,2,2009-08-27,"MODIFICA ORDENANZA Nº 9, DE 2004, SOBRE OTORGAMIENTO DE PATENTES DE ALCOHOLES Y FUNCIONAMIENTO DE ESTABLECIMIENTOS DE EXPENDIO DE BEBIDAS ALCOHÓLICAS","Comercio, Alcoholes y Patentes",https://www.bcn.cl/leychile/navegar?idNorma=1005470,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-concepcion/2009-08-27/2/datos.json
